Recipe_ID,Dish_Name,Cuisine,Meal_Type,Diet_Type,Ingredients,Step_1,Step_2,Step_3,Step_4
249,Crepes,French,Breakfast,Vegetarian,"flour, milk, egg","Step 1: Prepare ingredients by cleaning and chopping: flour, milk.",Step 2: Heat oil in a wok and grill flour for 5 minutes.,"Step 3: Add milk and egg to the saucepan, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
250,Green Curry,Thai,Dinner,Non-Vegetarian,"coconut milk, green curry paste, chicken, basil, fish sauce, green chili","Step 1: Prepare ingredients by cleaning and chopping: coconut milk, green curry paste.",Step 2: Heat oil in a wok and grill coconut milk for 5 minutes.,"Step 3: Add green curry paste and chicken to the pan, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
251,Green Curry,Thai,Dinner,Gluten-Free,"coconut milk, green curry paste, chicken, basil, fish sauce, green chili","Step 1: Prepare ingredients by cleaning and chopping: coconut milk, green curry paste.",Step 2: Heat oil in a skillet and grill coconut milk for 5 minutes.,"Step 3: Add green curry paste and chicken to the steamer, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
252,Guacamole Nachos,Mexican,Dinner,Gluten-Free,"avocado, nachos, onion","Step 1: Prepare ingredients by cleaning and chopping: avocado, nachos.",Step 2: Heat oil in a oven and blanch avocado for 5 minutes.,"Step 3: Add nachos and onion to the pot, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
253,Burrito Bowl,Mexican,Snack,Gluten-Free,"rice, beans, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, beans.",Step 2: Heat oil in a oven and roast rice for 5 minutes.,"Step 3: Add beans and chicken to the skillet, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
254,Sweet and Sour Pork,Chinese,Breakfast,Non-Vegetarian,"pork, pineapple, pepper","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a wok and sauté pork for 5 minutes.,"Step 3: Add pineapple and pepper to the pan, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
255,Crepes,French,Breakfast,Non-Vegetarian,"flour, milk, egg","Step 1: Prepare ingredients by cleaning and chopping: flour, milk.",Step 2: Heat oil in a skillet and fry flour for 5 minutes.,"Step 3: Add milk and egg to the oven, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
256,Guacamole Nachos,Mexican,Snack,Gluten-Free,"avocado, nachos, onion","Step 1: Prepare ingredients by cleaning and chopping: avocado, nachos.",Step 2: Heat oil in a skillet and grill avocado for 5 minutes.,"Step 3: Add nachos and onion to the steamer, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
257,French Onion Soup,French,Lunch,Vegan,"onion, beef broth, cheese","Step 1: Prepare ingredients by cleaning and chopping: onion, beef broth.",Step 2: Heat oil in a skillet and bake onion for 5 minutes.,"Step 3: Add beef broth and cheese to the wok, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
258,Margherita Pizza,Italian,Breakfast,Non-Vegetarian,"cheese, tomato, basil","Step 1: Prepare ingredients by cleaning and chopping: cheese, tomato.",Step 2: Heat oil in a steamer and sauté cheese for 5 minutes.,"Step 3: Add tomato and basil to the skillet, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
259,Miso Soup,Japanese,Breakfast,Vegetarian,"miso, tofu, seaweed","Step 1: Prepare ingredients by cleaning and chopping: miso, tofu.",Step 2: Heat oil in a wok and simmer miso for 5 minutes.,"Step 3: Add tofu and seaweed to the skillet, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
260,Sushi Roll,Japanese,Dinner,Gluten-Free,"rice, nori, fish, nori, vinegar, cucumber","Step 1: Prepare ingredients by cleaning and chopping: rice, nori.",Step 2: Heat oil in a oven and fry rice for 5 minutes.,"Step 3: Add nori and fish to the pan, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
261,Buffalo Wings,American,Snack,Non-Vegetarian,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a wok and blanch chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the pan, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
262,Miso Soup,Japanese,Breakfast,Vegetarian,"miso, tofu, seaweed","Step 1: Prepare ingredients by cleaning and chopping: miso, tofu.",Step 2: Heat oil in a steamer and simmer miso for 5 minutes.,"Step 3: Add tofu and seaweed to the pan, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
263,Guacamole Nachos,Mexican,Snack,Gluten-Free,"avocado, nachos, onion","Step 1: Prepare ingredients by cleaning and chopping: avocado, nachos.",Step 2: Heat oil in a steamer and grill avocado for 5 minutes.,"Step 3: Add nachos and onion to the saucepan, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
264,Tacos al Pastor,Mexican,Snack,Gluten-Free,"pork, pineapple, tortilla, onion, cilantro, lime","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a skillet and blanch pork for 5 minutes.,"Step 3: Add pineapple and tortilla to the steamer, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
265,Tacos al Pastor,Mexican,Lunch,Vegetarian,"pork, pineapple, tortilla, onion, cilantro, lime","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a skillet and fry pork for 5 minutes.,"Step 3: Add pineapple and tortilla to the pan, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
266,Lasagna,Italian,Dinner,Gluten-Free,"pasta, cheese, beef, oregano, tomato sauce, garlic","Step 1: Cook the lasagna sheets and prepare a meat sauce with tomatoes, garlic, and beef.","Step 2: In a baking dish, layer pasta, meat sauce, ricotta, and mozzarella cheese.","Step 3: Repeat the layers, finishing with cheese on top.",Step 4: Bake in a preheated oven at 375°F for 30-35 minutes. Let it rest before serving.
267,Tacos al Pastor,Mexican,Snack,Vegan,"pork, pineapple, tortilla, onion, cilantro, lime","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a pot and roast pork for 5 minutes.,"Step 3: Add pineapple and tortilla to the wok, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
268,Spaghetti Carbonara,Italian,Breakfast,Gluten-Free,"spaghetti, egg, cheese, garlic, black pepper, olive oil","Step 1: Prepare ingredients by cleaning and chopping: spaghetti, egg.",Step 2: Heat oil in a oven and boil spaghetti for 5 minutes.,"Step 3: Add egg and cheese to the pan, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
269,Pad Thai,Thai,Snack,Vegan,"noodles, tofu, peanuts","Step 1: Prepare ingredients by cleaning and chopping: noodles, tofu.",Step 2: Heat oil in a saucepan and grill noodles for 5 minutes.,"Step 3: Add tofu and peanuts to the pot, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
270,Chow Mein,Chinese,Breakfast,Vegan,"noodles, vegetables, soy sauce","Step 1: Prepare ingredients by cleaning and chopping: noodles, vegetables.",Step 2: Heat oil in a pan and blanch noodles for 5 minutes.,"Step 3: Add vegetables and soy sauce to the steamer, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
271,Ramen,Japanese,Snack,Vegetarian,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
272,Penne Arrabbiata,Italian,Lunch,Vegan,"penne, tomato, garlic","Step 1: Prepare ingredients by cleaning and chopping: penne, tomato.",Step 2: Heat oil in a wok and boil penne for 5 minutes.,"Step 3: Add tomato and garlic to the pan, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
273,Lasagna,Italian,Dinner,Gluten-Free,"pasta, cheese, beef, oregano, tomato sauce, garlic","Step 1: Cook the lasagna sheets and prepare a meat sauce with tomatoes, garlic, and beef.","Step 2: In a baking dish, layer pasta, meat sauce, ricotta, and mozzarella cheese.","Step 3: Repeat the layers, finishing with cheese on top.",Step 4: Bake in a preheated oven at 375°F for 30-35 minutes. Let it rest before serving.
274,Ramen,Japanese,Dinner,Vegetarian,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
275,Quiche Lorraine,French,Dinner,Gluten-Free,"egg, cheese, bacon","Step 1: Prepare ingredients by cleaning and chopping: egg, cheese.",Step 2: Heat oil in a grill and roast egg for 5 minutes.,"Step 3: Add cheese and bacon to the skillet, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
276,Tempura,Japanese,Breakfast,Non-Vegetarian,"shrimp, flour, egg","Step 1: Prepare ingredients by cleaning and chopping: shrimp, flour.",Step 2: Heat oil in a pan and blanch shrimp for 5 minutes.,"Step 3: Add flour and egg to the skillet, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
277,Rajma Chawal,Indian,Lunch,Gluten-Free,"kidney beans, rice, tomato, garam masala, bay leaf, coriander","Step 1: Prepare ingredients by cleaning and chopping: kidney beans, rice.",Step 2: Heat oil in a steamer and sauté kidney beans for 5 minutes.,"Step 3: Add rice and tomato to the wok, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
278,Burrito Bowl,Mexican,Dinner,Vegan,"rice, beans, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, beans.",Step 2: Heat oil in a grill and fry rice for 5 minutes.,"Step 3: Add beans and chicken to the pot, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
279,Lasagna,Italian,Snack,Non-Vegetarian,"pasta, cheese, beef, oregano, tomato sauce, garlic","Step 1: Cook the lasagna sheets and prepare a meat sauce with tomatoes, garlic, and beef.","Step 2: In a baking dish, layer pasta, meat sauce, ricotta, and mozzarella cheese.","Step 3: Repeat the layers, finishing with cheese on top.",Step 4: Bake in a preheated oven at 375°F for 30-35 minutes. Let it rest before serving.
280,Fried Rice,Chinese,Snack,Non-Vegetarian,"rice, egg, vegetables, soy sauce, spring onion, egg","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a skillet and roast rice for 5 minutes.,"Step 3: Add egg and vegetables to the steamer, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
281,Buffalo Wings,American,Dinner,Gluten-Free,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a saucepan and sauté chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the pot, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
282,Risotto Milanese,Italian,Lunch,Vegetarian,"rice, saffron, cheese","Step 1: Prepare ingredients by cleaning and chopping: rice, saffron.",Step 2: Heat oil in a steamer and fry rice for 5 minutes.,"Step 3: Add saffron and cheese to the oven, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
283,Miso Soup,Japanese,Dinner,Vegetarian,"miso, tofu, seaweed","Step 1: Prepare ingredients by cleaning and chopping: miso, tofu.",Step 2: Heat oil in a pan and steam miso for 5 minutes.,"Step 3: Add tofu and seaweed to the wok, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
284,Crepes,French,Lunch,Gluten-Free,"flour, milk, egg","Step 1: Prepare ingredients by cleaning and chopping: flour, milk.",Step 2: Heat oil in a pan and sauté flour for 5 minutes.,"Step 3: Add milk and egg to the steamer, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
285,Chili Con Carne,Mexican,Dinner,Vegetarian,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a pot and roast beef for 5 minutes.,"Step 3: Add beans and tomato to the wok, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
286,BBQ Ribs,American,Breakfast,Non-Vegetarian,"pork, bbq sauce, spices","Step 1: Prepare ingredients by cleaning and chopping: pork, bbq sauce.",Step 2: Heat oil in a oven and fry pork for 5 minutes.,"Step 3: Add bbq sauce and spices to the pan, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
287,BBQ Ribs,American,Breakfast,Vegetarian,"pork, bbq sauce, spices","Step 1: Prepare ingredients by cleaning and chopping: pork, bbq sauce.",Step 2: Heat oil in a grill and steam pork for 5 minutes.,"Step 3: Add bbq sauce and spices to the pot, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
288,Margherita Pizza,Italian,Lunch,Non-Vegetarian,"cheese, tomato, basil","Step 1: Prepare ingredients by cleaning and chopping: cheese, tomato.",Step 2: Heat oil in a skillet and blanch cheese for 5 minutes.,"Step 3: Add tomato and basil to the saucepan, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
289,Buffalo Wings,American,Snack,Vegetarian,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a pan and simmer chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the grill, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
290,Ramen,Japanese,Breakfast,Gluten-Free,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
291,BBQ Ribs,American,Snack,Non-Vegetarian,"pork, bbq sauce, spices","Step 1: Prepare ingredients by cleaning and chopping: pork, bbq sauce.",Step 2: Heat oil in a skillet and bake pork for 5 minutes.,"Step 3: Add bbq sauce and spices to the grill, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
292,Buffalo Wings,American,Breakfast,Gluten-Free,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a wok and blanch chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the pot, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
293,Tempura,Japanese,Breakfast,Gluten-Free,"shrimp, flour, egg","Step 1: Prepare ingredients by cleaning and chopping: shrimp, flour.",Step 2: Heat oil in a saucepan and roast shrimp for 5 minutes.,"Step 3: Add flour and egg to the pot, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
294,Beef Bourguignon,French,Dinner,Vegetarian,"beef, red wine, carrot","Step 1: Prepare ingredients by cleaning and chopping: beef, red wine.",Step 2: Heat oil in a wok and bake beef for 5 minutes.,"Step 3: Add red wine and carrot to the skillet, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
295,Buffalo Wings,American,Dinner,Gluten-Free,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a pan and simmer chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the pot, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
296,BBQ Ribs,American,Dinner,Vegetarian,"pork, bbq sauce, spices","Step 1: Prepare ingredients by cleaning and chopping: pork, bbq sauce.",Step 2: Heat oil in a oven and steam pork for 5 minutes.,"Step 3: Add bbq sauce and spices to the pot, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
297,Burrito Bowl,Mexican,Breakfast,Vegan,"rice, beans, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, beans.",Step 2: Heat oil in a steamer and grill rice for 5 minutes.,"Step 3: Add beans and chicken to the pot, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
298,Crepes,French,Dinner,Vegetarian,"flour, milk, egg","Step 1: Prepare ingredients by cleaning and chopping: flour, milk.",Step 2: Heat oil in a saucepan and bake flour for 5 minutes.,"Step 3: Add milk and egg to the steamer, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
299,Buffalo Wings,American,Lunch,Non-Vegetarian,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a pot and boil chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the pan, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
300,Penne Arrabbiata,Italian,Lunch,Vegetarian,"penne, tomato, garlic","Step 1: Prepare ingredients by cleaning and chopping: penne, tomato.",Step 2: Heat oil in a oven and sauté penne for 5 minutes.,"Step 3: Add tomato and garlic to the wok, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
301,Burrito Bowl,Mexican,Lunch,Gluten-Free,"rice, beans, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, beans.",Step 2: Heat oil in a pan and sauté rice for 5 minutes.,"Step 3: Add beans and chicken to the saucepan, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
302,Margherita Pizza,Italian,Breakfast,Vegetarian,"cheese, tomato, basil","Step 1: Prepare ingredients by cleaning and chopping: cheese, tomato.",Step 2: Heat oil in a saucepan and simmer cheese for 5 minutes.,"Step 3: Add tomato and basil to the skillet, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
303,Cheeseburger,American,Lunch,Vegan,"beef, cheese, bun","Step 1: Prepare ingredients by cleaning and chopping: beef, cheese.",Step 2: Heat oil in a steamer and grill beef for 5 minutes.,"Step 3: Add cheese and bun to the oven, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
304,Tacos al Pastor,Mexican,Breakfast,Vegetarian,"pork, pineapple, tortilla, onion, cilantro, lime","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a oven and fry pork for 5 minutes.,"Step 3: Add pineapple and tortilla to the pan, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
305,Thai Fried Rice,Thai,Breakfast,Gluten-Free,"rice, egg, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a skillet and fry rice for 5 minutes.,"Step 3: Add egg and chicken to the pan, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
306,Tom Yum Soup,Thai,Dinner,Non-Vegetarian,"shrimp, lemongrass, mushroom","Step 1: Prepare ingredients by cleaning and chopping: shrimp, lemongrass.",Step 2: Heat oil in a steamer and sauté shrimp for 5 minutes.,"Step 3: Add lemongrass and mushroom to the oven, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
307,Sushi Roll,Japanese,Dinner,Vegan,"rice, nori, fish, nori, vinegar, cucumber","Step 1: Prepare ingredients by cleaning and chopping: rice, nori.",Step 2: Heat oil in a pot and simmer rice for 5 minutes.,"Step 3: Add nori and fish to the skillet, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
308,Masala Dosa,Indian,Lunch,Gluten-Free,"potato, rice, onion, mustard seeds, green chili, ginger","Step 1: Prepare ingredients by cleaning and chopping: potato, rice.",Step 2: Heat oil in a grill and roast potato for 5 minutes.,"Step 3: Add rice and onion to the pot, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
309,Masala Dosa,Indian,Breakfast,Gluten-Free,"potato, rice, onion, mustard seeds, green chili, ginger","Step 1: Prepare ingredients by cleaning and chopping: potato, rice.",Step 2: Heat oil in a pan and boil potato for 5 minutes.,"Step 3: Add rice and onion to the pot, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
310,Beef Bourguignon,French,Snack,Gluten-Free,"beef, red wine, carrot","Step 1: Prepare ingredients by cleaning and chopping: beef, red wine.",Step 2: Heat oil in a pot and roast beef for 5 minutes.,"Step 3: Add red wine and carrot to the saucepan, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
311,Chole Bhature,Indian,Lunch,Non-Vegetarian,"chickpeas, onion, flour, ginger, green chili, garam masala","Step 1: Prepare ingredients by cleaning and chopping: chickpeas, onion.",Step 2: Heat oil in a pan and grill chickpeas for 5 minutes.,"Step 3: Add onion and flour to the steamer, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
312,Spaghetti Carbonara,Italian,Snack,Gluten-Free,"spaghetti, egg, cheese, garlic, black pepper, olive oil","Step 1: Prepare ingredients by cleaning and chopping: spaghetti, egg.",Step 2: Heat oil in a oven and bake spaghetti for 5 minutes.,"Step 3: Add egg and cheese to the pan, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
313,Penne Arrabbiata,Italian,Snack,Vegan,"penne, tomato, garlic","Step 1: Prepare ingredients by cleaning and chopping: penne, tomato.",Step 2: Heat oil in a steamer and fry penne for 5 minutes.,"Step 3: Add tomato and garlic to the saucepan, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
314,Spring Rolls,Chinese,Lunch,Vegetarian,"cabbage, carrot, wrap","Step 1: Prepare ingredients by cleaning and chopping: cabbage, carrot.",Step 2: Heat oil in a oven and simmer cabbage for 5 minutes.,"Step 3: Add carrot and wrap to the wok, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
315,Teriyaki Chicken,Japanese,Dinner,Vegan,"chicken, soy sauce, sugar","Step 1: Prepare ingredients by cleaning and chopping: chicken, soy sauce.",Step 2: Heat oil in a skillet and roast chicken for 5 minutes.,"Step 3: Add soy sauce and sugar to the saucepan, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
316,Cheeseburger,American,Breakfast,Non-Vegetarian,"beef, cheese, bun","Step 1: Prepare ingredients by cleaning and chopping: beef, cheese.",Step 2: Heat oil in a saucepan and steam beef for 5 minutes.,"Step 3: Add cheese and bun to the wok, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
317,Risotto Milanese,Italian,Breakfast,Vegetarian,"rice, saffron, cheese","Step 1: Prepare ingredients by cleaning and chopping: rice, saffron.",Step 2: Heat oil in a oven and grill rice for 5 minutes.,"Step 3: Add saffron and cheese to the saucepan, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
318,Buffalo Wings,American,Lunch,Vegan,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a wok and bake chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the pot, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
319,Spaghetti Carbonara,Italian,Lunch,Vegetarian,"spaghetti, egg, cheese, garlic, black pepper, olive oil","Step 1: Prepare ingredients by cleaning and chopping: spaghetti, egg.",Step 2: Heat oil in a saucepan and blanch spaghetti for 5 minutes.,"Step 3: Add egg and cheese to the pot, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
320,Tempura,Japanese,Lunch,Vegan,"shrimp, flour, egg","Step 1: Prepare ingredients by cleaning and chopping: shrimp, flour.",Step 2: Heat oil in a pan and blanch shrimp for 5 minutes.,"Step 3: Add flour and egg to the wok, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
321,Buffalo Wings,American,Breakfast,Vegan,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a saucepan and sauté chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the grill, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
322,Massaman Curry,Thai,Breakfast,Non-Vegetarian,"beef, potato, coconut milk","Step 1: Prepare ingredients by cleaning and chopping: beef, potato.",Step 2: Heat oil in a saucepan and bake beef for 5 minutes.,"Step 3: Add potato and coconut milk to the skillet, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
323,BBQ Ribs,American,Snack,Vegan,"pork, bbq sauce, spices","Step 1: Prepare ingredients by cleaning and chopping: pork, bbq sauce.",Step 2: Heat oil in a saucepan and simmer pork for 5 minutes.,"Step 3: Add bbq sauce and spices to the wok, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
324,Guacamole Nachos,Mexican,Lunch,Non-Vegetarian,"avocado, nachos, onion","Step 1: Prepare ingredients by cleaning and chopping: avocado, nachos.",Step 2: Heat oil in a pot and steam avocado for 5 minutes.,"Step 3: Add nachos and onion to the steamer, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
325,Masala Dosa,Indian,Dinner,Vegan,"potato, rice, onion, mustard seeds, green chili, ginger","Step 1: Prepare ingredients by cleaning and chopping: potato, rice.",Step 2: Heat oil in a pan and steam potato for 5 minutes.,"Step 3: Add rice and onion to the wok, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
326,Pancakes,American,Snack,Non-Vegetarian,"flour, egg, milk","Step 1: Prepare ingredients by cleaning and chopping: flour, egg.",Step 2: Heat oil in a oven and blanch flour for 5 minutes.,"Step 3: Add egg and milk to the grill, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
327,Penne Arrabbiata,Italian,Lunch,Non-Vegetarian,"penne, tomato, garlic","Step 1: Prepare ingredients by cleaning and chopping: penne, tomato.",Step 2: Heat oil in a skillet and simmer penne for 5 minutes.,"Step 3: Add tomato and garlic to the steamer, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
328,Buffalo Wings,American,Snack,Non-Vegetarian,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a steamer and fry chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the grill, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
